Year,Month,MeanTMax,MeanTMin
1920,1,65.1,41.5
1920,2,68.5,47
1920,3,72.2,44.7
1920,4,79.5,49.7
1920,5,92.4,59.4
1920,6,100.4,68.5
1920,7,106.4,75.2
1920,8,99.9,73
1920,9,95.8,64.9
1920,10,82.5,51.5
1920,11,74.7,42.6
1920,12,64.8,34.3
1921,1,66.5,37.5
1921,2,73.3,42
1921,3,79.3,50.1
1921,4,82.5,49.7
1921,5,89.4,57.9
1921,6,101.4,68.2
1921,7,101.3,77.1
1921,8,99.1,75.1
1921,9,97.7,67.4
1921,10,90.1,57.5
1921,11,78.4,43.4
1921,12,68.2,43.9
1922,1,61.7,35.5
1922,2,67.8,41.1
1922,3,70.3,43.6
1922,4,77.9,48.6
1922,5,93.3,59
1922,6,103.3,69.2
1922,7,104,77.2
1922,8,102.4,76.4
1922,9,99.3,70.8
1922,10,88.1,55.2
1922,11,70.7,39.2
1922,12,67.4,42.7
1923,1,70.2,40.7
1923,2,68.1,42.1
1923,3,72.7,45.1
1923,4,80.7,52.5
1923,5,94.1,61.2
1923,6,98.3,63.3
1923,7,101.8,76.7
1923,8,99,75.5
1923,9,94.3,66.1
1923,10,83.8,50.8
1923,11,71,47.2
1923,12,61.8,42.3
1924,1,65.6,35.1
1924,2,74.9,42.7
1924,3,70,43.2
1924,4,79.6,50.6
1924,5,95,62.5
1924,6,104.9,70.1
1924,7,103,77.5
1924,8,103.4,75.5
1924,9,100.6,70.5
1924,10,88.2,54.1
1924,11,80.1,45.4
1924,12,61.8,39.5
1925,1,67.8,36.1
1925,2,76.4,44.9
1925,3,81,48.6
1925,4,86.8,54.9
1925,5,96.6,65.8
1925,6,100.5,72
1925,7,105.9,79.5
1925,8,100,74.4
1925,9,95.5,65.3
1925,10,81.4,55.6
1925,11,72.9,42.8
1925,12,67.2,39.7
1926,1,63.9,34.8
1926,2,73.6,42.7
1926,3,77.1,50.9
1926,4,80.3,56.8
1926,5,91.1,60.4
1926,6,102.8,71.2
1926,7,103,76.3
1926,8,102.6,75.2
1926,9,97,69.8
1926,10,89.1,57.9
1926,11,77.8,45.5
1926,12,62.4,40.4
1927,1,70.7,41.7
1927,2,70.4,47.1
1927,3,72.9,45.3
1927,4,82.2,52.4
1927,5,92.6,59.5
1927,6,99,68.4
1927,7,105.1,77.5
1927,8,100.3,75.4
1927,9,95.7,69.5
1927,10,87.9,55.1
1927,11,78.2,48.3
1927,12,63,38.8
1928,1,69.2,37.2
1928,2,69,41.2
1928,3,78.6,49.6
1928,4,83.3,52.1
1928,5,93.7,65.2
1928,6,101.1,70.1
1928,7,105.4,78.2
1928,8,101.4,75.4
1928,9,100,70.5
1928,10,87.1,58
1928,11,73.8,46.6
1928,12,64.8,38
1929,1,62.8,37.4
1929,2,65.9,40.1
1929,3,74.6,46.1
1929,4,80.8,51.6
1929,5,93.8,62.2
1929,6,103.5,69.4
1929,7,103.8,80.2
1929,8,102.2,77.1
1929,9,97.3,70.7
1929,10,89.7,59.8
1929,11,74.1,41.7
1929,12,72.7,40
1930,1,62.4,41.6
1930,2,75.6,44.9
1930,3,74,47.3
1930,4,86.6,57.7
1930,5,86,57.4
1930,6,102.3,71.3
1930,7,103.5,79.1
1930,8,102.6,76.7
1930,9,96.7,67.8
1930,10,86.6,54.1
1930,11,73.6,46.8
1930,12,66.8,37.5
1931,1,67.9,37.9
1931,2,67.8,47.9
1931,3,77.5,48
1931,4,86,58.7
1931,5,96.2,64.8
1931,6,101.3,72.6
1931,7,107.5,82.8
1931,8,101,77.6
1931,9,98.9,72.9
1931,10,88.1,57.6
1931,11,68.5,45.9
1931,12,61.9,37.5
1932,1,60.3,33.8
1932,2,68,45.5
1932,3,76.1,47.7
1932,4,84.9,53.6
1932,5,92.9,61.6
1932,6,100.9,68.6
1932,7,104.2,79.5
1932,8,105,79.2
1932,9,101.7,72.4
1932,10,85.5,57.5
1932,11,80.2,45.7
1932,12,60.2,38.3
1933,1,61.5,36.1
1933,2,63.5,35.7
1933,3,77,46.8
1933,4,79.1,50.3
1933,5,87.6,57.5
1933,6,102.7,72.6
1933,7,107.5,82.5
1933,8,105.3,79.5
1933,9,99.9,73.8
1933,10,90.5,62.9
1933,11,79.4,46
1933,12,69,40.3
1934,1,69.2,39.8
1934,2,74.6,47.1
1934,3,85.6,54.3
1934,4,90,59.6
1934,5,98.9,67.6
1934,6,98.9,68.6
1934,7,106.8,81.3
1934,8,101.1,78.9
1934,9,99,70.6
1934,10,91.5,59.5
1934,11,75.7,47.2
1934,12,68.4,43.5
1935,1,65.5,42.2
1935,2,69.6,46.2
1935,3,69.9,45.3
1935,4,82.9,56
1935,5,88,60.2
1935,6,105.5,72.8
1935,7,105.5,78.4
1935,8,100.1,76.8
1935,9,97.9,71.2
1935,10,88,57.2
1935,11,71,43.4
1935,12,67.2,41.4
1936,1,67.2,38.5
1936,2,68.2,44.5
1936,3,79.3,50.3
1936,4,88.7,57.5
1936,5,98.2,65.2
1936,6,105.6,75
1936,7,106.1,80.2
1936,8,103.2,79
1936,9,97,70.1
1936,10,87.1,59.2
1936,11,75.5,48.1
1936,12,65.7,40.6
1937,1,54.4,31.9
1937,2,68,41.4
1937,3,72.9,46.9
1937,4,83.2,52.1
1937,5,94.8,62.3
1937,6,100.9,69.7
1937,7,105,78.5
1937,8,104.8,79.6
1937,9,99.9,73.9
1937,10,91.1,58.6
1937,11,77.9,46.7
1937,12,69.7,44.1
1938,1,68.8,41.2
1938,2,67.9,44.9
1938,3,71.9,46.8
1938,4,84.4,53.6
1938,5,91.5,61
1938,6,101.4,70.2
1938,7,103.8,76.8
1938,8,103,76.8
1938,9,101.2,72.4
1938,10,87.2,56.1
1938,11,71.9,40.1
1938,12,69,42.8
1939,1,64.6,40.3
1939,2,60.5,36.6
1939,3,77.2,47.5
1939,4,86.7,55.8
1939,5,94.7,62.8
1939,6,101.9,69.9
1939,7,105.5,79
1939,8,102.4,77.9
1939,9,94.2,70.7
1939,10,86.9,54.6
1939,11,77.8,50.8
1939,12,72.3,42.8
1940,1,68.8,42.5
1940,2,69.6,44
1940,3,79.2,50.5
1940,4,84,56
1940,5,97,66
1940,6,103.8,74
1940,7,106.1,76.9
1940,8,103.9,78.1
1940,9,97.8,72.5
1940,10,87.2,59.8
1940,11,72.6,45.2
1940,12,67.6,45.9
1941,1,65.6,44.1
1941,2,68.7,48.4
1941,3,71.8,47.8
1941,4,75.6,50.3
1941,5,90.9,62
1941,6,98.5,67.2
1941,7,103.7,76.2
1941,8,100.3,74
1941,9,95.5,65.8
1941,10,81.5,54.9
1941,11,77.4,46.8
1941,12,65.6,42.6
1942,1,67.7,41
1942,2,66.4,39.2
1942,3,74.2,44
1942,4,80,52.6
1942,5,91.5,58.8
1942,6,101.8,68.1
1942,7,106.5,78.9
1942,8,101.4,76.3
1942,9,100.1,69.9
1942,10,86.2,58.4
1942,11,78.9,48
1942,12,69.8,42
1943,1,65.7,41.3
1943,2,73.9,45
1943,3,77.7,50.1
1943,4,87.5,56.1
1943,5,94.3,63.6
1943,6,98.8,69.9
1943,7,105.4,78.5
1943,8,99.3,77.4
1943,9,100.2,70.9
1943,10,87.1,58.6
1943,11,78.1,45.5
1943,12,65.1,42.4
1944,1,65.2,38.3
1944,2,63.8,41.7
1944,3,71.5,44.4
1944,4,78.2,51.4
1944,5,90.2,61
1944,6,97.2,65.3
1944,7,104.4,75.4
1944,8,104.8,77.2
1944,9,97.1,70.9
1944,10,89.9,59.9
1944,11,70.3,45.8
1944,12,67.5,40.5
1945,1,64.1,39.7
1945,2,69.2,43.3
1945,3,69.3,44.7
1945,4,82,50.8
1945,5,91.5,60.9
1945,6,98.6,66.5
1945,7,103.9,77.9
1945,8,102,77.8
1945,9,99.1,71
1945,10,88.5,61.4
1945,11,75.4,43.2
1945,12,64.7,37.8
1946,1,63.2,39.5
1946,2,69.5,38.7
1946,3,77.1,46.9
1946,4,88.7,58.4
1946,5,91.9,61.9
1946,6,104.1,71.4
1946,7,103,77.8
1946,8,101.9,77.7
1946,9,97.5,71.8
1946,10,81,54.3
1946,11,69.1,42.8
1946,12,69.1,42.4
1947,1,64,37
1947,2,75.2,45
1947,3,77.7,49.5
1947,4,83.8,54.6
1947,5,94.4,65
1947,6,99.2,70
1947,7,106.6,79.5
1947,8,100.8,76.1
1947,9,101.4,73.4
1947,10,88.2,59.6
1947,11,69.1,44.1
1947,12,63.4,38.7
1948,1,68.9,38.2
1948,2,66.3,41.4
1948,3,69.1,44.7
1948,4,85,54.6
1948,5,92.9,61.2
1948,6,100.4,69.6
1948,7,104.6,77.6
1948,8,104.4,78.4
1948,9,100.3,72
1948,10,87.7,61.5
1948,11,72.3,41.6
1948,12,63.9,40.2
1949,1,53.5,35.8
1949,2,66.1,39.5
1949,3,74.2,46.7
1949,4,86.3,57.1
1949,5,91.4,62.1
1949,6,100.6,72.1
1949,7,103,79
1949,8,103.7,73.6
1949,9,99.6,74.4
1949,10,83.9,56.1
1949,11,82.3,50
1949,12,66.1,39.7
1950,1,64.1,38.4
1950,2,74.1,46
1950,3,77.8,48.7
1950,4,88.1,57.6
1950,5,91.2,60.5
1950,6,100.8,69.1
1950,7,100.5,78.3
1950,8,104.9,74.8
1950,9,95.8,67.9
1950,10,95.1,62
1950,11,80.9,49.6
1950,12,74.5,43.3
1951,1,66.2,39.5
1951,2,69.1,44.6
1951,3,74.6,48.2
1951,4,81.7,54.6
1951,5,92.3,62.6
1951,6,99.8,68.1
1951,7,106,79.3
1951,8,99.4,76.3
1951,9,100.1,69.5
1951,10,88.1,58.5
1951,11,72.9,47.3
1951,12,63.9,41.3
1952,1,64.2,39.7
1952,2,68.4,41.8
1952,3,67.6,44.1
1952,4,80.5,55.2
1952,5,96,65.4
1952,6,101.2,70
1952,7,103.5,76.5
1952,8,103.1,79
1952,9,100.7,73.1
1952,10,95.8,61.3
1952,11,69.8,46
1952,12,64.4,40.9
1953,1,70.9,42.2
1953,2,69.3,41.1
1953,3,77.1,49.3
1953,4,81.3,54.4
1953,5,86,57.6
1953,6,101.8,70.9
1953,7,102.9,80
1953,8,103.8,77.1
1953,9,102.8,69.1
1953,10,87,56.2
1953,11,76.6,46.3
1953,12,64.4,34.2
1954,1,66.1,38.4
1954,2,76.3,45.8
1954,3,71,45.6
1954,4,87.1,56
1954,5,93.3,63
1954,6,99.7,69.6
1954,7,102.7,79.9
1954,8,99.9,76.9
1954,9,99.1,73.3
1954,10,90,59.8
1954,11,80,49.1
1954,12,67.8,40.1
1955,1,59,38.4
1955,2,64.9,36.8
1955,3,76.2,47
1955,4,81.8,51.5
1955,5,89.4,61.8
1955,6,99.4,68
1955,7,99.1,74.2
1955,8,97,76.1
1955,9,97.7,68.1
1955,10,90.9,60.4
1955,11,73.3,44.9
1955,12,70.1,41.5
1956,1,69.1,42.9
1956,2,63.5,38.2
1956,3,78.2,45
1956,4,80,52.2
1956,5,92,61.7
1956,6,101.4,72.3
1956,7,99.9,75.9
1956,8,99.3,72.2
1956,9,99.8,69.3
1956,10,84.6,54.8
1956,11,74,41.6
1956,12,68.3,38.2
1957,1,63,44.9
1957,2,73.2,49.6
1957,3,74.2,49.4
1957,4,80.1,52.8
1957,5,86,59.7
1957,6,101.7,72.4
1957,7,103.1,79.6
1957,8,99.2,76.8
1957,9,97.9,68.4
1957,10,81.1,60
1957,11,68.6,44.1
1957,12,68.8,41.1
1958,1,67.3,38.7
1958,2,69.7,46.2
1958,3,67.3,46.7
1958,4,80.6,52.7
1958,5,96.4,66.2
1958,6,103.6,74.6
1958,7,106.9,80.2
1958,8,104.1,81.3
1958,9,98.7,74.4
1958,10,88.1,65.1
1958,11,73.6,49.2
1958,12,69.9,42.1
1959,1,67,40.5
1959,2,65.9,41.9
1959,3,77.9,49.2
1959,4,87.6,59.3
1959,5,90.3,62.2
1959,6,104.7,75.9
1959,7,106,81.9
1959,8,98.5,77.7
1959,9,95.8,70.8
1959,10,86,59.3
1959,11,72.6,49.2
1959,12,63.2,44
1960,1,58.8,38.1
1960,2,63.4,39.5
1960,3,78.9,51.2
1960,4,84.8,55.9
1960,5,92.6,62.9
1960,6,105.1,74.9
1960,7,105.3,79.4
1960,8,101.5,77.9
1960,9,99.2,72.5
1960,10,81.9,59.2
1960,11,73.4,47.5
1960,12,64.3,36.6
1961,1,68.7,39.7
1961,2,71.2,39.9
1961,3,74.5,44.6
1961,4,86.3,52
1961,5,93,58.1
1961,6,105.3,71.8
1961,7,105.4,77.9
1961,8,101.8,75.3
1961,9,94.5,66.6
1961,10,85.7,53.5
1961,11,70.8,43.3
1961,12,64,40.5
1962,1,63.3,39.6
1962,2,67.5,43.9
1962,3,70.9,41.1
1962,4,90.6,54
1962,5,90.6,56.3
1962,6,101.7,64.5
1962,7,105.1,75.3
1962,8,107.3,76.1
1962,9,97.5,71.1
1962,10,88.3,54.8
1962,11,77.4,46.4
1962,12,68.6,41.4
1963,1,62.1,34.6
1963,2,75,45.3
1963,3,76.4,45.5
1963,4,81.9,49.7
1963,5,97.5,62.5
1963,6,99.2,64.1
1963,7,106.3,77.7
1963,8,98.7,75.4
1963,9,99.1,71
1963,10,90.3,62.1
1963,11,73.3,50.4
1963,12,66.8,36.8
1964,1,61,32.4
1964,2,65.1,33.4
1964,3,71.1,41.9
1964,4,80.8,49.5
1964,5,90.9,56.4
1964,6,99.5,65.6
1964,7,104.1,77
1964,8,98.6,73.7
1964,9,94.2,68.1
1964,10,90.2,59.6
1964,11,69.3,41.7
1964,12,64.1,39.8
1965,1,64,41.3
1965,2,65.3,39.4
1965,3,69.3,42.8
1965,4,77.1,49.7
1965,5,89.2,54.4
1965,6,97.3,60.6
1965,7,105.3,76.7
1965,8,104.1,73.8
1965,9,94.7,63.6
1965,10,92,55.6
1965,11,76.3,47.9
1965,12,64.5,41.2
1966,1,61.9,34.5
1966,2,63.5,35.9
1966,3,77.9,44.4
1966,4,87.8,51.7
1966,5,97.1,63
1966,6,103.4,70.1
1966,7,106.5,79.5
1966,8,103.5,78.3
1966,9,95.1,70.6
1966,10,87.7,54
1966,11,76.2,44.8
1966,12,67,37
1967,1,67.2,34.1
1967,2,72.9,38.5
1967,3,78.5,47
1967,4,77.2,47.5
1967,5,91.5,58.7
1967,6,96,66.2
1967,7,103.6,79.5
1967,8,103.2,78.8
1967,9,98,71.6
1967,10,89.3,57.6
1967,11,78.4,49.3
1967,12,59.5,36.9
1968,1,65.6,39.1
1968,2,72.2,47.1
1968,3,73.8,45.9
1968,4,82.6,50.7
1968,5,93.7,59.5
1968,6,104.1,68.2
1968,7,103.3,77.1
1968,8,99.2,73.7
1968,9,99.4,67.8
1968,10,89.1,56.3
1968,11,73,45.3
1968,12,63.4,35.6
1969,1,66.1,43.6
1969,2,66.2,39.8
1969,3,72.5,41.2
1969,4,84.7,52.3
1969,5,94.6,61.9
1969,6,99.4,69
1969,7,104.9,81.3
1969,8,106.1,82.7
1969,9,99,73
1969,10,83.6,55.3
1969,11,74,50.2
1969,12,67.5,42.1
1970,1,66.5,37.6
